mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,encoded_name
16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst,14
27.0,4,97.0,88,2130,14.5,70,3,datsun pl510,95
37.0,4,91.0,68,2025,18.2,82,3,mazda glc custom l,179
36.1,4,91.0,60,1800,16.4,78,3,honda civic cvcc,171
23.0,4,115.0,95,2694,15.0,75,2,audi 100ls,17
14.0,8,400.0,175,4385,12.0,72,1,pontiac catalina,241
32.8,4,78.0,52,1985,19.4,78,3,mazda glc deluxe,180
29.9,4,98.0,65,2380,20.7,81,1,ford escort 2h,130
20.0,4,97.0,88,2279,19.0,73,3,toyota carina,263
12.0,8,429.0,198,4952,11.5,73,1,mercury marquis brougham,193
15.5,8,400.0,190,4325,12.2,77,1,chrysler cordoba,70
23.7,3,70.0,100,2420,12.5,80,3,mazda rx-7 gs,182
24.0,4,116.0,75,2158,15.5,73,2,opel manta,209
36.0,4,79.0,58,1825,18.6,77,2,renault 5 gtl,256
19.0,6,156.0,108,2930,15.5,76,3,toyota mark ii,276
38.0,4,105.0,63,2125,14.7,82,1,plymouth horizon miser,227
29.0,4,135.0,84,2525,16.0,82,1,dodge aries se,96
21.5,6,231.0,115,3245,15.4,79,1,pontiac lemans v6,247
27.9,4,156.0,105,2800,14.4,80,1,dodge colt,103
14.0,8,318.0,150,4077,14.0,72,1,plymouth satellite custom (sw),233
36.1,4,98.0,66,1800,14.4,78,1,ford fiesta,139
22.0,4,108.0,94,2379,16.5,73,3,datsun 610,87
18.0,6,199.0,97,2774,15.5,70,1,amc hornet,8
17.0,8,304.0,150,3672,11.5,72,1,amc ambassador sst,2
18.0,6,250.0,105,3459,16.0,75,1,chevrolet nova,61
14.0,8,440.0,215,4312,8.5,70,1,plymouth fury iii,223
26.0,4,97.0,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,282
13.0,8,350.0,150,4699,14.5,74,1,buick century luxus (sw),27
33.0,4,105.0,74,2190,14.2,81,2,volkswagen jetta,285
37.0,4,85.0,65,1975,19.4,81,3,datsun 210 mpg,80
32.0,4,71.0,65,1836,21.0,74,3,toyota corolla 1200,267
28.0,4,107.0,86,2464,15.5,76,2,fiat 131,125
19.2,8,267.0,125,3605,15.0,79,1,chevrolet malibu classic (sw),56
32.0,4,91.0,67,1965,15.7,82,3,honda civic (auto),168
27.4,4,121.0,80,2670,15.0,79,1,amc spirit dl,15
20.0,4,140.0,90,2408,19.5,72,1,chevrolet vega,63
26.0,4,96.0,69,2189,18.0,72,2,renault 12 (sw),253
20.6,6,225.0,110,3360,16.6,79,1,dodge aspen 6,99
37.3,4,91.0,69,2130,14.7,79,2,fiat strada custom,126
16.2,6,163.0,133,3410,15.8,78,2,peugeot 604sl,214
15.0,8,350.0,145,4440,14.0,75,1,chevrolet bel air,42
21.0,4,140.0,72,2401,19.5,73,1,chevrolet vega,63
21.0,6,200.0,85,2587,16.0,70,1,ford maverick,150
20.5,6,200.0,95,3155,18.2,78,1,chevrolet malibu,55
21.0,6,199.0,90,2648,15.0,70,1,amc gremlin,7
25.4,6,168.0,116,2900,12.6,81,3,toyota cressida,275
34.1,4,91.0,68,1985,16.0,81,3,mazda glc 4,177
27.0,4,151.0,90,2950,17.3,82,1,chevrolet camaro,43
